bundle_id,conference,gender,rank,team,score,champion_score,total_meet_points,champion_ratio,meet_share,base_tier,power_class,final_tier
asun_2026,ASUN,women,3,Queens University of Charlotte,1217.5,1627.0,7995.0,0.74831,0.152283,Tier 2,,Tier 2
asun_2026,ASUN,women,4,Georgia Southern University,795.5,1627.0,7995.0,0.488937,0.0995,Tier 3,,Tier 3
asun_2026,ASUN,women,5,Univ North Carolina Asheville,768.0,1627.0,7995.0,0.472034,0.09606,Tier 3,,Tier 3
asun_2026,ASUN,women,6,University of North Florida,648.5,1627.0,7995.0,0.398586,0.081113,Tier 3,,Tier 3
asun_2026,ASUN,women,7,Old Dominion University,563.0,1627.0,7995.0,0.346036,0.070419,Tier 4,,Tier 4
asun_2026,ASUN,women,8,Gardner-Webb University,470.5,1627.0,7995.0,0.289183,0.058849,Tier 4,,Tier 4
asun_2026,ASUN,women,9,Bellarmine University,286.0,1627.0,7995.0,0.175784,0.035772,Tier 4,,Tier 4
atlantic10_2026,Atlantic 10,men,1,George Washington University,784.83,784.83,3344.99,1.0,0.234629,Tier 1,Powerhouse,Tier 1B
atlantic10_2026,Atlantic 10,men,2,George Mason University,585.66,784.83,3344.99,0.746225,0.175086,Tier 2,,Tier 2
atlantic10_2026,Atlantic 10,men,3,St Bonaventure University,506.5,784.83,3344.99,0.645363,0.15142,Tier 2,,Tier 2
atlantic10_2026,Atlantic 10,men,4,La Salle University,437.0,784.83,3344.99,0.556808,0.130643,Tier 3,,Tier 3
atlantic10_2026,Atlantic 10,men,5,Davidson College,420.0,784.83,3344.99,0.535148,0.125561,Tier 3,,Tier 3
atlantic10_2026,Atlantic 10,men,6,Saint Louis University,325.0,784.83,3344.99,0.414102,0.09716,Tier 3,,Tier 3
atlantic10_2026,Atlantic 10,men,7,Fordham University,286.0,784.83,3344.99,0.36441,0.085501,Tier 3,,Tier 3
atlantic10_2026,Atlantic 10,women,1,University of Richmond,600.0,600.0,3651.0,1.0,0.164339,Tier 1,Powerhouse,Tier 1B
atlantic10_2026,Atlantic 10,women,2,George Washington University,572.5,600.0,3651.0,0.954167,0.156806,Tier 1,Powerhouse,Tier 1B
atlantic10_2026,Atlantic 10,women,3,Duquesne University,516.5,600.0,3651.0,0.860833,0.141468,Tier 1,Powerhouse,Tier 1B
atlantic10_2026,Atlantic 10,women,4,La Salle University,477.0,600.0,3651.0,0.795,0.130649,Tier 2,,Tier 2
