Conference,Finish,Team,MenPoints,Tier,SourcePage,Key,ChampionPoints,MedianPoints,DominanceIndex,IsChampion,PSF,PowerClass,ChampionMeetShare,ChampionPowerClass,ChampionRatio,MeetTotalPoints,MeetShare,gender,final_tier,tier_short,generated_at,snapshot_version
ACC,7,"North Carolina, University of",522.5,Tier 3,0,"ACC|North Carolina, University of",1410.5,0,0,0,1.0,,0.159163,Powerhouse,0.370436,8862.0,0.05896,women,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,8,Duke University,432.5,Tier 4,0,ACC|Duke University,1410.5,0,0,0,1.0,,0.159163,Powerhouse,0.306629,8862.0,0.048804,women,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,9,VA Tech,409.5,Tier 4,0,ACC|VA Tech,1410.5,0,0,0,1.0,,0.159163,Powerhouse,0.290323,8862.0,0.046209,women,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,10,Florida State University,371.0,Tier 4,0,ACC|Florida State University,1410.5,0,0,0,1.0,,0.159163,Powerhouse,0.263027,8862.0,0.041864,women,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,11,"Notre Dame, University of",366.0,Tier 4,0,"ACC|Notre Dame, University of",1410.5,0,0,0,1.0,,0.159163,Powerhouse,0.259482,8862.0,0.0413,women,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,12,University of Miami (Florida),322.0,Tier 4,0,ACC|University of Miami (Florida),1410.5,0,0,0,1.0,,0.159163,Powerhouse,0.228288,8862.0,0.036335,women,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,13,Georgia Institute of Technolog,274.0,Tier 4,0,ACC|Georgia Institute of Technolog,1410.5,0,0,0,1.0,,0.159163,Powerhouse,0.194257,8862.0,0.030919,women,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,14,Southern Methodist University,261.0,Tier 4,0,ACC|Southern Methodist University,1410.5,0,0,0,1.0,,0.159163,Powerhouse,0.185041,8862.0,0.029452,women,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ACC,15,Boston College,98.0,Tier 4,0,ACC|Boston College,1410.5,0,0,0,1.0,,0.159163,Powerhouse,0.069479,8862.0,0.011058,women,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
America East,1,University of Maryland Baltimo,805.5,Tier 1,0,America East|University of Maryland Baltimo,805.5,0,0,1,1.0,Super Powerhouse,0.247922,Super Powerhouse,1.0,3249.0,0.247922,men,Tier 1A,1A,2026-03-17T23:50:51Z,lane4_snapshot_v1
America East,2,Binghamton University,748.0,Tier 1,0,America East|Binghamton University,805.5,0,0,0,1.0,Powerhouse,0.247922,Super Powerhouse,0.928616,3249.0,0.230225,men,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
America East,3,Bryant University,572.5,Tier 2,0,America East|Bryant University,805.5,0,0,0,1.0,,0.247922,Super Powerhouse,0.710739,3249.0,0.176208,men,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
America East,4,Virginia Military Institute,423.0,Tier 3,0,America East|Virginia Military Institute,805.5,0,0,0,1.0,,0.247922,Super Powerhouse,0.52514,3249.0,0.130194,men,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
America East,5,New Jersey Institute of Techno,353.0,Tier 3,0,America East|New Jersey Institute of Techno,805.5,0,0,0,1.0,,0.247922,Super Powerhouse,0.438237,3249.0,0.108649,men,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
America East,6,"Maine, University of",347.0,Tier 3,0,"America East|Maine, University of",805.5,0,0,0,1.0,,0.247922,Super Powerhouse,0.430788,3249.0,0.106802,men,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
America East,1,Bryant University,775.0,Tier 1,0,America East|Bryant University,775.0,0,0,1,1.0,Powerhouse,0.22997,Powerhouse,1.0,3370.0,0.22997,women,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
America East,2,"New Hampshire, University of",660.0,Tier 1,0,"America East|New Hampshire, University of",775.0,0,0,0,1.0,Powerhouse,0.22997,Powerhouse,0.851613,3370.0,0.195846,women,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
America East,3,"Vermont, University of",613.0,Tier 2,0,"America East|Vermont, University of",775.0,0,0,0,1.0,,0.22997,Powerhouse,0.790968,3370.0,0.181899,women,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
America East,4,University of Maryland Baltimo,446.0,Tier 3,0,America East|University of Maryland Baltimo,775.0,0,0,0,1.0,,0.22997,Powerhouse,0.575484,3370.0,0.132344,women,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
America East,5,Binghamton University,403.0,Tier 3,0,America East|Binghamton University,775.0,0,0,0,1.0,,0.22997,Powerhouse,0.52,3370.0,0.119585,women,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
America East,6,"Maine, University of",314.0,Tier 3,0,"America East|Maine, University of",775.0,0,0,0,1.0,,0.22997,Powerhouse,0.405161,3370.0,0.093175,women,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
America East,7,Virginia Military Institute,159.0,Tier 4,0,America East|Virginia Military Institute,775.0,0,0,0,1.0,,0.22997,Powerhouse,0.205161,3370.0,0.047181,women,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ASUN,1,Florida Atlantic University,782.5,Tier 1,0,ASUN|Florida Atlantic University,782.5,0,0,1,1.0,Powerhouse,0.236619,Powerhouse,1.0,3307.0,0.236619,men,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
ASUN,1,Queens University of Charlotte,782.5,Tier 1,0,ASUN|Queens University of Charlotte,782.5,0,0,1,1.0,Powerhouse,0.236619,Powerhouse,1.0,3307.0,0.236619,men,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
ASUN,3,Delaware,762.0,Tier 1,0,ASUN|Delaware,782.5,0,0,0,1.0,Powerhouse,0.236619,Powerhouse,0.973802,3307.0,0.23042,men,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
ASUN,4,Gardner-Webb University,394.0,Tier 3,0,ASUN|Gardner-Webb University,782.5,0,0,0,1.0,,0.236619,Powerhouse,0.503514,3307.0,0.119141,men,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
ASUN,5,Old Dominion University,367.0,Tier 3,0,ASUN|Old Dominion University,782.5,0,0,0,1.0,,0.236619,Powerhouse,0.46901,3307.0,0.110977,men,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
ASUN,6,Bellarmine University,219.0,Tier 4,0,ASUN|Bellarmine University,782.5,0,0,0,1.0,,0.236619,Powerhouse,0.279872,3307.0,0.066223,men,Tier 4,4,2026-03-17T23:50:51Z,lane4_snapshot_v1
ASUN,1,Delaware,1627.0,Tier 1,0,ASUN|Delaware,1627.0,0,0,1,1.0,Powerhouse,0.203502,Powerhouse,1.0,7995.0,0.203502,women,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
ASUN,2,Florida Gulf Coast University,1619.0,Tier 1,0,ASUN|Florida Gulf Coast University,1627.0,0,0,0,1.0,Powerhouse,0.203502,Powerhouse,0.995083,7995.0,0.202502,women,Tier 1B,1B,2026-03-17T23:50:51Z,lane4_snapshot_v1
ASUN,3,Queens University of Charlotte,1217.5,Tier 2,0,ASUN|Queens University of Charlotte,1627.0,0,0,0,1.0,,0.203502,Powerhouse,0.74831,7995.0,0.152283,women,Tier 2,2,2026-03-17T23:50:51Z,lane4_snapshot_v1
ASUN,4,Georgia Southern University,795.5,Tier 3,0,ASUN|Georgia Southern University,1627.0,0,0,0,1.0,,0.203502,Powerhouse,0.488937,7995.0,0.0995,women,Tier 3,3,2026-03-17T23:50:51Z,lane4_snapshot_v1
