bundle_id,conference,gender,issue_type,team,detail
asun_2026,ASUN,men,duplicate_rank,Florida Atlantic University,rank=1 also assigned to Queens University of Charlotte
maac_2026,MAAC,women,duplicate_rank,Rider University,rank=7 also assigned to Canisius University
