Conference,Year,Gender,Bundle_ID,Event,1st,8th,16th,1st_seconds,8th_seconds,16th_seconds,Sec_per_place,Source_File,Data_Quality
ODAC,2026,women,odac_2026,100 Free,52.33,54.83,1:01.54,52.33,54.83,61.54,0.614,odac 2026 WOMENS swim_results.pdf,prelim_fallback
ODAC,2026,women,odac_2026,200 Free,1:46.12,1:59.00,2:07.41,106.12,119.0,127.41,1.4193,odac 2026 WOMENS swim_results.pdf,prelim_fallback
ODAC,2026,women,odac_2026,500 Free,5:06.61,5:20.73,5:32.30,306.61,320.73,332.3,1.7127,odac 2026 WOMENS swim_results.pdf,prelim_fallback
ODAC,2026,women,odac_2026,100 Back,56.80,1:01.84,1:05.47,56.8,61.84,65.47,0.578,odac 2026 WOMENS swim_results.pdf,prelim_fallback
ODAC,2026,women,odac_2026,200 Back,1:56.50,2:14.85,2:22.88,116.5,134.85,142.88,1.7587,odac 2026 WOMENS swim_results.pdf,prelim_fallback
ODAC,2026,women,odac_2026,100 Breast,1:03.54,1:08.27,1:13.22,63.54,68.27,73.22,0.6453,odac 2026 WOMENS swim_results.pdf,prelim_fallback
ODAC,2026,women,odac_2026,200 Breast,2:21.67,2:31.07,2:49.15,141.67,151.07,169.15,1.832,odac 2026 WOMENS swim_results.pdf,prelim_fallback
ODAC,2026,women,odac_2026,100 Fly,56.83,1:01.12,1:04.79,56.83,61.12,64.79,0.5307,odac 2026 WOMENS swim_results.pdf,prelim_fallback
ODAC,2026,women,odac_2026,200 Fly,1:58.70,2:17.34,4:07.45,118.7,137.34,247.45,8.5833,odac 2026 WOMENS swim_results.pdf,prelim_fallback
ODAC,2026,women,odac_2026,200 IM,1:59.63,2:12.42,2:16.20,119.63,132.42,136.2,1.1047,odac 2026 WOMENS swim_results.pdf,prelim_fallback
Patriot,2026,men,patriot_2026,50 Free,5:00.55,4:09.15,3:35.10,300.55,249.15,215.1,-5.6967,Patriot League 2026 results.pdf,prelim_fallback
Patriot,2026,men,patriot_2026,100 Back,6:26.10,4:45.55,4:12.70,386.1,285.55,252.7,-8.8933,Patriot League 2026 results.pdf,prelim_fallback
Patriot,2026,men,patriot_2026,200 Fly,1:41.85,1:52.05,1:47.91,101.85,112.05,107.91,0.404,Patriot League 2026 results.pdf,prelim_fallback
Patriot,2026,women,patriot_2026,100 Free,48.85,1:47.98,1:49.89,48.85,107.98,109.89,4.0693,Patriot League 2026 results.pdf,prelim_fallback
Patriot,2026,women,patriot_2026,200 Free,1:35.26,1:37.68,1:50.61,95.26,97.68,110.61,1.0233,Patriot League 2026 results.pdf,prelim_fallback
Patriot,2026,women,patriot_2026,500 Free,4:47.33,4:56.70,5:01.51,287.33,296.7,301.51,0.9453,Patriot League 2026 results.pdf,prelim_fallback
