Source_File,Bundle_ID,Conference,Year,Gender,Event,Issue
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,400 IM,Event found on second-pass loose scan (places found: 16)
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,200 Free,Event found on second-pass loose scan (places found: 16)
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,100 Breast,Event found on second-pass loose scan (places found: 30)
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,1650 Free,Event found on second-pass loose scan (places found: 17)
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,200 Back,Event found on second-pass loose scan (places found: 6)
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,100 Free,Event found on second-pass loose scan (places found: 19)
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,200 Breast,Event found on second-pass loose scan (places found: 12)
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,200 IM,Event found on second-pass loose scan (places found: 24)
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,50 Free,Event found on second-pass loose scan (places found: 25)
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,100 Fly,Event found on second-pass loose scan (places found: 16)
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,400 IM,Event found on second-pass loose scan (places found: 33)
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,100 Breast,Event found on second-pass loose scan (places found: 12)
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,100 Back,Event found on second-pass loose scan (places found: 22)
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,1650 Free,Event found on second-pass loose scan (places found: 8)
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,200 Back,Event found on second-pass loose scan (places found: 18)
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,200 Breast,Event found on second-pass loose scan (places found: 8)
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,women,200 Fly,Event found on second-pass loose scan (places found: 12)
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,,,Team scores not found in any bundle file
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,50 Free,Only prelim results found — no finals detected
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,50 Free,"Implausible 1st-place time 5:00.55 — no better candidate, kept"
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,100 Free,Only prelim results found — no finals detected
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,100 Free,"Event incomplete after both passes — 1st, 8th place not found"
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,200 Free,Only prelim results found — no finals detected
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,200 Free,"Event incomplete after both passes — 1st, 16th place not found"
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,500 Free,Only prelim results found — no finals detected
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,500 Free,Event incomplete after both passes — 8th place not found
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,1650 Free,Only prelim results found — no finals detected
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,1650 Free,fewer_than_16_finalists — no B-Final section detected; event likely had fewer than 16 entrants
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,100 Back,Only prelim results found — no finals detected
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,100 Back,"Implausible 1st-place time 6:26.10 — no better candidate, kept"
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,200 Back,Only prelim results found — no finals detected
Patriot League 2026 results.pdf,patriot_2026,Patriot,2026,men,200 Back,"Event incomplete after both passes — 1st, 8th, 16th place not found"
