Bundle_ID,Conference,Year,Gender,Event_Name,Detected,Source_Type,Notes
odac_2026,ODAC,2026,men,50 Free,yes,prelim_fallback,
odac_2026,ODAC,2026,men,100 Free,yes,prelim_fallback,
odac_2026,ODAC,2026,men,200 Free,yes,prelim_fallback,
odac_2026,ODAC,2026,men,500 Free,yes,prelim_fallback,
odac_2026,ODAC,2026,men,1000 Free,no,not_required,optional_not_required
odac_2026,ODAC,2026,men,1650 Free,yes,prelim_fallback,
odac_2026,ODAC,2026,men,100 Back,yes,prelim_fallback,
odac_2026,ODAC,2026,men,200 Back,yes,prelim_fallback,
odac_2026,ODAC,2026,men,100 Breast,yes,prelim_fallback,
odac_2026,ODAC,2026,men,200 Breast,yes,prelim_fallback,
odac_2026,ODAC,2026,men,100 Fly,yes,prelim_fallback,
odac_2026,ODAC,2026,men,200 Fly,yes,prelim_fallback,
odac_2026,ODAC,2026,men,200 IM,yes,prelim_fallback,
odac_2026,ODAC,2026,men,400 IM,yes,prelim_fallback,
odac_2026,ODAC,2026,women,50 Free,yes,prelim_fallback,
odac_2026,ODAC,2026,women,100 Free,yes,prelim_fallback,
odac_2026,ODAC,2026,women,200 Free,yes,prelim_fallback,
odac_2026,ODAC,2026,women,500 Free,yes,prelim_fallback,
odac_2026,ODAC,2026,women,1000 Free,no,not_required,optional_not_required
odac_2026,ODAC,2026,women,1650 Free,yes,prelim_fallback,
odac_2026,ODAC,2026,women,100 Back,yes,prelim_fallback,
odac_2026,ODAC,2026,women,200 Back,yes,prelim_fallback,
odac_2026,ODAC,2026,women,100 Breast,yes,prelim_fallback,
odac_2026,ODAC,2026,women,200 Breast,yes,prelim_fallback,
odac_2026,ODAC,2026,women,100 Fly,yes,prelim_fallback,
odac_2026,ODAC,2026,women,200 Fly,yes,prelim_fallback,
odac_2026,ODAC,2026,women,200 IM,yes,prelim_fallback,
odac_2026,ODAC,2026,women,400 IM,yes,prelim_fallback,
patriot_2026,Patriot,2026,men,50 Free,yes,prelim_fallback,
patriot_2026,Patriot,2026,men,100 Free,yes,prelim_fallback,
patriot_2026,Patriot,2026,men,200 Free,yes,prelim_fallback,
patriot_2026,Patriot,2026,men,500 Free,yes,prelim_fallback,
patriot_2026,Patriot,2026,men,1000 Free,no,not_required,optional_not_required
patriot_2026,Patriot,2026,men,1650 Free,yes,prelim_fallback,
patriot_2026,Patriot,2026,men,100 Back,yes,prelim_fallback,
patriot_2026,Patriot,2026,men,200 Back,yes,prelim_fallback,
patriot_2026,Patriot,2026,men,100 Breast,yes,prelim_fallback,
patriot_2026,Patriot,2026,men,200 Breast,yes,prelim_fallback,
patriot_2026,Patriot,2026,men,100 Fly,yes,prelim_fallback,
patriot_2026,Patriot,2026,men,200 Fly,yes,prelim_fallback,
patriot_2026,Patriot,2026,men,200 IM,yes,prelim_fallback,
patriot_2026,Patriot,2026,men,400 IM,yes,prelim_fallback,
patriot_2026,Patriot,2026,women,50 Free,yes,prelim_fallback,
patriot_2026,Patriot,2026,women,100 Free,yes,prelim_fallback,
patriot_2026,Patriot,2026,women,200 Free,yes,prelim_fallback,
patriot_2026,Patriot,2026,women,500 Free,yes,prelim_fallback,
patriot_2026,Patriot,2026,women,1000 Free,no,not_required,optional_not_required
patriot_2026,Patriot,2026,women,1650 Free,yes,prelim_fallback,
patriot_2026,Patriot,2026,women,100 Back,yes,prelim_fallback,
patriot_2026,Patriot,2026,women,200 Back,yes,prelim_fallback,
patriot_2026,Patriot,2026,women,100 Breast,yes,prelim_fallback,
patriot_2026,Patriot,2026,women,200 Breast,yes,prelim_fallback,
patriot_2026,Patriot,2026,women,100 Fly,yes,prelim_fallback,
patriot_2026,Patriot,2026,women,200 Fly,yes,prelim_fallback,
patriot_2026,Patriot,2026,women,200 IM,yes,prelim_fallback,
patriot_2026,Patriot,2026,women,400 IM,yes,prelim_fallback,
summitleague_2026,Summit League,2026,men,50 Free,yes,finals,
summitleague_2026,Summit League,2026,men,100 Free,yes,finals,
summitleague_2026,Summit League,2026,men,200 Free,yes,finals,
summitleague_2026,Summit League,2026,men,500 Free,yes,finals,
summitleague_2026,Summit League,2026,men,1000 Free,no,not_required,optional_not_required
summitleague_2026,Summit League,2026,men,1650 Free,yes,finals,
summitleague_2026,Summit League,2026,men,100 Back,yes,finals,
summitleague_2026,Summit League,2026,men,200 Back,yes,finals,
summitleague_2026,Summit League,2026,men,100 Breast,yes,finals,
summitleague_2026,Summit League,2026,men,200 Breast,yes,finals,
summitleague_2026,Summit League,2026,men,100 Fly,yes,finals,
summitleague_2026,Summit League,2026,men,200 Fly,yes,finals,
summitleague_2026,Summit League,2026,men,200 IM,yes,finals,
summitleague_2026,Summit League,2026,men,400 IM,yes,finals,
summitleague_2026,Summit League,2026,women,50 Free,yes,finals,
summitleague_2026,Summit League,2026,women,100 Free,yes,finals,
summitleague_2026,Summit League,2026,women,200 Free,yes,finals,
summitleague_2026,Summit League,2026,women,500 Free,yes,finals,
summitleague_2026,Summit League,2026,women,1000 Free,no,not_required,optional_not_required
summitleague_2026,Summit League,2026,women,1650 Free,yes,finals,
summitleague_2026,Summit League,2026,women,100 Back,yes,finals,
summitleague_2026,Summit League,2026,women,200 Back,yes,finals,
summitleague_2026,Summit League,2026,women,100 Breast,yes,finals,
summitleague_2026,Summit League,2026,women,200 Breast,yes,finals,
summitleague_2026,Summit League,2026,women,100 Fly,yes,finals,
summitleague_2026,Summit League,2026,women,200 Fly,yes,finals,
summitleague_2026,Summit League,2026,women,200 IM,yes,finals,
summitleague_2026,Summit League,2026,women,400 IM,yes,finals,
