Bundle_ID,Conference,Source_File,Page_Number,Raw_Header_Text,Gender_Normalized,Event_Normalized,Round_Normalized,Accepted_YN,Rejection_Reason,State_Action,Intervening_Line_Type,Dedupe_Key,Notes
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,70,(Event 33 Men 1650 Yard Freestyle),men,1650 Free,unknown,yes,,finalize+open_event,,men:1650 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,70,Event 34 Women 100 Yard Freestyle,women,100 Free,unknown,yes,,finalize+open_event,,women:100 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,71,Preliminaries ... (Event 34 Women 100 Yard Freestyle),women,100 Free,unknown,yes,,finalize+open_event,,women:100 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,71,Event 34 Women 100 Yard Freestyle,women,100 Free,unknown,yes,,finalize+open_event,,women:100 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,72,Preliminaries ... (Event 34 Women 100 Yard Freestyle),women,100 Free,unknown,yes,,finalize+open_event,,women:100 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,73,Event 35 Men 100 Yard Freestyle,men,100 Free,unknown,yes,,finalize+open_event,,men:100 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,74,Preliminaries ... (Event 35 Men 100 Yard Freestyle),men,100 Free,unknown,yes,,finalize+open_event,,men:100 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,74,Event 35 Men 100 Yard Freestyle,men,100 Free,unknown,yes,,finalize+open_event,,men:100 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,75,Preliminaries ... (Event 35 Men 100 Yard Freestyle),men,100 Free,unknown,yes,,finalize+open_event,,men:100 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,76,Preliminaries ... (Event 35 Men 100 Yard Freestyle),men,100 Free,unknown,yes,,finalize+open_event,,men:100 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,77,Preliminaries ... (Event 35 Men 100 Yard Freestyle),men,100 Free,unknown,yes,,finalize+open_event,,men:100 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,78,Event 36 Women 200 Yard Backstroke,women,200 Back,unknown,yes,,finalize+open_event,,women:200 Back,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,79,Event 36 Women 200 Yard Backstroke,women,200 Back,unknown,yes,,finalize+open_event,,women:200 Back,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,80,Preliminaries ... (Event 36 Women 200 Yard Backstroke),women,200 Back,unknown,yes,,finalize+open_event,,women:200 Back,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,80,Event 37 Men 200 Yard Backstroke,men,200 Back,unknown,yes,,finalize+open_event,,men:200 Back,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,81,Preliminaries ... (Event 37 Men 200 Yard Backstroke),men,200 Back,unknown,yes,,finalize+open_event,,men:200 Back,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,81,Event 37 Men 200 Yard Backstroke,men,200 Back,unknown,yes,,finalize+open_event,,men:200 Back,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,82,Preliminaries ... (Event 37 Men 200 Yard Backstroke),men,200 Back,unknown,yes,,finalize+open_event,,men:200 Back,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,82,Event 38 Women 200 Yard Breaststroke,women,200 Breast,unknown,yes,,finalize+open_event,,women:200 Breast,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,83,A - Final ... (Event 38 Women 200 Yard Breaststroke),women,200 Breast,A,yes,,finalize+open_event,,women:200 Breast,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,83,Event 38 Women 200 Yard Breaststroke,women,200 Breast,unknown,yes,,finalize+open_event,,women:200 Breast,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,84,Preliminaries ... (Event 38 Women 200 Yard Breaststroke),women,200 Breast,unknown,yes,,finalize+open_event,,women:200 Breast,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,84,Event 39 Men 200 Yard Breaststroke,men,200 Breast,unknown,yes,,finalize+open_event,,men:200 Breast,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,85,A - Final ... (Event 39 Men 200 Yard Breaststroke),men,200 Breast,A,yes,,finalize+open_event,,men:200 Breast,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,86,Event 39 Men 200 Yard Breaststroke,men,200 Breast,unknown,yes,,finalize+open_event,,men:200 Breast,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,87,Preliminaries ... (Event 39 Men 200 Yard Breaststroke),men,200 Breast,unknown,yes,,finalize+open_event,,men:200 Breast,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,89,Event 108 Men 50 Yard Freestyle Time Trial,men,50 Free,unknown,yes,,finalize+open_event,,men:50 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,89,Event 137 Men 200 Yard Backstroke Time Trial,men,200 Back,unknown,yes,,finalize+open_event,,men:200 Back,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,90,Event 206 Men 200 Yard IM Time Trial,men,200 IM,unknown,yes,,finalize+open_event,,men:200 IM,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,90,Event 208 Men 50 Yard Freestyle Time Trial,men,50 Free,unknown,yes,,finalize+open_event,,men:50 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,90,Event 213 Men 100 Yard Butterfly Time Trial,men,100 Fly,unknown,yes,,finalize+open_event,,men:100 Fly,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,90,Event 217 Men 200 Yard Freestyle Time Trial,men,200 Free,unknown,yes,,finalize+open_event,,men:200 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,91,Event 306 Men 200 Yard IM Time Trial,men,200 IM,unknown,yes,,finalize+open_event,,men:200 IM,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,91,Event 308 Men 50 Yard Freestyle Time Trial,men,50 Free,unknown,yes,,finalize+open_event,,men:50 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,91,Event 324 Men 100 Yard Backstroke Time Trial,men,100 Back,unknown,yes,,finalize+open_event,,men:100 Back,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,91,Event 335 Men 100 Yard Freestyle Time Trial,men,100 Free,unknown,yes,,finalize+open_event,,men:100 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,91,Event 408 Men 50 Yard Freestyle Time Trial,men,50 Free,unknown,yes,,finalize+open_event,,men:50 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,92,Event 412 Women 100 Yard Butterfly Time Trial,women,100 Fly,unknown,yes,,finalize+open_event,,women:100 Fly,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,92,Event 413 Men 100 Yard Butterfly Time Trial,men,100 Fly,unknown,yes,,finalize+open_event,,men:100 Fly,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,92,Event 417 Men 200 Yard Freestyle Time Trial,men,200 Free,unknown,yes,,finalize+open_event,,men:200 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,93,Event 422 Men 500 Yard Freestyle Time Trial,men,500 Free,unknown,yes,,finalize+open_event,,men:500 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,93,Event 424 Men 100 Yard Backstroke Time Trial,men,100 Back,unknown,yes,,finalize+open_event,,men:100 Back,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,93,Event 435 Men 100 Yard Freestyle Time Trial,men,100 Free,unknown,yes,,finalize+open_event,,men:100 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,93,Event 507 Women 50 Yard Freestyle Time Trial,women,50 Free,unknown,yes,,finalize+open_event,,women:50 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,94,- Time Trial ... (Event 507 Women 50 Yard Freestyle Time Trial),women,50 Free,unknown,yes,,finalize+open_event,,women:50 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,94,Event 508 Men 50 Yard Freestyle Time Trial,men,50 Free,unknown,yes,,finalize+open_event,,men:50 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,94,Event 513 Men 100 Yard Butterfly Time Trial,men,100 Fly,unknown,yes,,finalize+open_event,,men:100 Fly,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,95,Event 608 Men 50 Yard Freestyle Time Trial,men,50 Free,unknown,yes,,finalize+open_event,,men:50 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,95,Event 613 Men 100 Yard Butterfly Time Trial,men,100 Fly,unknown,yes,,finalize+open_event,,men:100 Fly,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,95,Event 617 Men 200 Yard Freestyle Time Trial,men,200 Free,unknown,yes,,finalize+open_event,,men:200 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,95,Event 623 Women 100 Yard Backstroke Time Trial,women,100 Back,unknown,yes,,finalize+open_event,,women:100 Back,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,96,Event 624 Men 100 Yard Backstroke Time Trial,men,100 Back,unknown,yes,,finalize+open_event,,men:100 Back,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,96,Event 625 Women 100 Yard Breaststroke Time Trial,women,100 Breast,unknown,yes,,finalize+open_event,,women:100 Breast,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,96,Event 626 Men 100 Yard Breaststroke Time Trial,men,100 Breast,unknown,yes,,finalize+open_event,,men:100 Breast,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,97,- Time Trial ... (Event 626 Men 100 Yard Breaststroke Time Trial),men,100 Breast,unknown,yes,,finalize+open_event,,men:100 Breast,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,97,Event 627 Women 200 Yard Butterfly Time Trial,women,200 Fly,unknown,yes,,finalize+open_event,,women:200 Fly,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,97,Event 628 Men 200 Yard Butterfly Time Trial,men,200 Fly,unknown,yes,,finalize+open_event,,men:200 Fly,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,97,Event 635 Men 100 Yard Freestyle Time Trial,men,100 Free,unknown,yes,,finalize+open_event,,men:100 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,98,Event 708 Men 50 Yard Freestyle Time Trial,men,50 Free,unknown,yes,,finalize+open_event,,men:50 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,98,Event 712 Women 100 Yard Butterfly Time Trial,women,100 Fly,unknown,yes,,finalize+open_event,,women:100 Fly,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,98,Event 713 Men 100 Yard Butterfly Time Trial,men,100 Fly,unknown,yes,,finalize+open_event,,men:100 Fly,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,99,Event 725 Women 100 Yard Breaststroke Time Trial,women,100 Breast,unknown,yes,,finalize+open_event,,women:100 Breast,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,99,Event 726 Men 100 Yard Breaststroke Time Trial,men,100 Breast,unknown,yes,,finalize+open_event,,men:100 Breast,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,99,Event 735 Men 100 Yard Freestyle Time Trial,men,100 Free,unknown,yes,,finalize+open_event,,men:100 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,99,Event 736 Women 200 Yard Backstroke Time Trial,women,200 Back,unknown,yes,,finalize+open_event,,women:200 Back,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,99,Event 739 Men 200 Yard Breaststroke Time Trial,men,200 Breast,unknown,yes,,finalize+open_event,,men:200 Breast,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,100,Event 807 Women 50 Yard Freestyle Time Trial,women,50 Free,unknown,yes,,finalize+open_event,,women:50 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,100,Event 808 Men 50 Yard Freestyle Time Trial,men,50 Free,unknown,yes,,finalize+open_event,,men:50 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,100,Event 813 Men 100 Yard Butterfly Time Trial,men,100 Fly,unknown,yes,,finalize+open_event,,men:100 Fly,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,100,Event 817 Men 200 Yard Freestyle Time Trial,men,200 Free,unknown,yes,,finalize+open_event,,men:200 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,101,Event 824 Men 100 Yard Backstroke Time Trial,men,100 Back,unknown,yes,,finalize+open_event,,men:100 Back,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,101,Event 826 Men 100 Yard Breaststroke Time Trial,men,100 Breast,unknown,yes,,finalize+open_event,,men:100 Breast,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,101,Event 828 Men 200 Yard Butterfly Time Trial,men,200 Fly,unknown,yes,,finalize+open_event,,men:200 Fly,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,101,Event 834 Women 100 Yard Freestyle Time Trial,women,100 Free,unknown,yes,,finalize+open_event,,women:100 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,101,Event 835 Men 100 Yard Freestyle Time Trial,men,100 Free,unknown,yes,,finalize+open_event,,men:100 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,102,- Time Trial ... (Event 835 Men 100 Yard Freestyle Time Trial),men,100 Free,unknown,yes,,finalize+open_event,,men:100 Free,session=finals
gliac_2026,GLIAC,GLIAC_2026_Final_Results.pdf,102,Event 839 Men 200 Yard Breaststroke Time Trial,men,200 Breast,unknown,yes,,finalize+open_event,,men:200 Breast,session=finals
odac_2026,ODAC,odac 2026 MENS swim-full-results.pdf,2,Event 5 Men 500 Yard Freestyle,men,500 Free,unknown,yes,,finalize+open_event,,men:500 Free,session=prelims
