school,conference,psf,prod_rawPts,exp_rawPts,delta_rawPts,prod_adjPts,exp_adjPts,delta_adjPts,prod_tier,exp_tier,tier_change,prod_top3,exp_top3,place_shifts
Johns Hopkins University,Centennial,0.7,6.6,7.8,1.2,4.62,5.46,0.84,Recruitable,Recruitable,same,500 Free pl=13.2 pts=6.6 | 50 Free pl=18.4 pts=0.0 | 100 Free pl=17.5 pts=0.0,500 Free pl=13.2 pts=7.8 | 50 Free pl=18.5 pts=0.0 | 100 Free pl=17.2 pts=0.0,"500 Free: prod pl=13.2/pts=6.6 → exp pl=13.2/pts=7.8 (Δplace=-0.0, Δpts=+1.2); 100 Fly: prod pl=20.5/pts=0.0 → exp pl=19.8/pts=0.0 (Δplace=-0.6, Δpts=+0.0); 200 IM: prod pl=33.0/pts=0.0 → exp pl=31.1/pts=0.0 (Δplace=-1.8, Δpts=+0.0)"
Franklin & Marshall College,Centennial,1.2,6.6,7.8,1.2,7.92,9.36,1.44,Recruitable,Recruitable,same,500 Free pl=13.2 pts=6.6 | 50 Free pl=18.4 pts=0.0 | 100 Free pl=17.5 pts=0.0,500 Free pl=13.2 pts=7.8 | 50 Free pl=18.5 pts=0.0 | 100 Free pl=17.2 pts=0.0,"500 Free: prod pl=13.2/pts=6.6 → exp pl=13.2/pts=7.8 (Δplace=-0.0, Δpts=+1.2); 100 Fly: prod pl=20.5/pts=0.0 → exp pl=19.8/pts=0.0 (Δplace=-0.6, Δpts=+0.0); 200 IM: prod pl=33.0/pts=0.0 → exp pl=31.1/pts=0.0 (Δplace=-1.8, Δpts=+0.0)"
Gettysburg College,Centennial,1.0,6.6,7.8,1.2,6.6,7.8,1.2,Recruitable,Recruitable,same,500 Free pl=13.2 pts=6.6 | 50 Free pl=18.4 pts=0.0 | 100 Free pl=17.5 pts=0.0,500 Free pl=13.2 pts=7.8 | 50 Free pl=18.5 pts=0.0 | 100 Free pl=17.2 pts=0.0,"500 Free: prod pl=13.2/pts=6.6 → exp pl=13.2/pts=7.8 (Δplace=-0.0, Δpts=+1.2); 100 Fly: prod pl=20.5/pts=0.0 → exp pl=19.8/pts=0.0 (Δplace=-0.6, Δpts=+0.0); 200 IM: prod pl=33.0/pts=0.0 → exp pl=31.1/pts=0.0 (Δplace=-1.8, Δpts=+0.0)"
Macalester College,MIAC,1.1,34.27,33.69,-0.58,37.7,37.06,-0.64,Conference Star,Conference Star,same,500 Free pl=9.1 pts=11.9 | 100 Free pl=9.5 pts=11.5 | 100 Fly pl=10.2 pts=10.8,500 Free pl=9.0 pts=12.0 | 100 Free pl=10.0 pts=11.0 | 100 Fly pl=10.4 pts=10.6,"200 IM: prod pl=15.6/pts=3.5 → exp pl=15.4/pts=1.9 (Δplace=-0.1, Δpts=-1.6)"
Whitman College,NWC,1.1,19.02,18.58,-0.44,20.92,20.44,-0.48,Top Recruit,Top Recruit,same,500 Free pl=11.8 pts=9.2 | 100 Free pl=13.5 pts=6.3 | 200 Free pl=15.6 pts=3.5,500 Free pl=11.7 pts=9.3 | 100 Free pl=13.6 pts=7.4 | 200 Free pl=15.6 pts=1.9,"100 Free: prod pl=13.5/pts=6.3 → exp pl=13.6/pts=7.4 (Δplace=+0.1, Δpts=+1.1); 200 Free: prod pl=15.6/pts=3.5 → exp pl=15.6/pts=1.9 (Δplace=-0.0, Δpts=-1.6); 200 IM: prod pl=28.3/pts=0.0 → exp pl=27.1/pts=0.0 (Δplace=-1.3, Δpts=+0.0)"
